"","Ecoregion","Metier4","Species","das","animals","rate","CI5","CI95","class"
"21","Ionian Sea and the Central","GTR","Alosa fallax",167,3,0.017964072,0.005988024,0.035928144,"f"
"22","Barents Sea","OTB","Amblyraja hyperborea",76,450,5.921052632,5.460526316,6.381578947,"f"
"23","Icelandic Waters","OTB","Amblyraja hyperborea",412,51,0.123786408,0.097087379,0.152912621,"f"
"24","Celtic Seas","OTB","Amblyraja radiata",53,229,4.320754717,3.849056604,4.79245283,"f"
"25","Barents Sea","OTB","Anarhichas denticulatus",76,1522,20.02631579,19.18421053,20.86842105,"f"
"26","Icelandic Waters","OTB","Anarhichas denticulatus",412,140,0.339805825,0.29368932,0.388349515,"f"
"27","Barents Sea","OTB","Anarhichas lupus",76,111,1.460526316,1.236842105,1.697368421,"f"
"28","Greater North Sea","OTB","Anarhichas lupus",213,10,0.046948357,0.023474178,0.070422535,"f"
"29","Greater North Sea","TBB","Anarhichas lupus",94.71,0,0,0,0,"f"
"30","Barents Sea","OTB","Anarhichas minor",76,1365,17.96052632,17.17105263,18.76315789,"f"
"31","Icelandic Waters","OTB","Apristurus aphyodes",412,42,0.101941748,0.077669903,0.128640777,"f"
"32","Icelandic Waters","OTB","Apristurus laurussonii",412,48,0.116504854,0.089805825,0.145631068,"f"
"33","Bay of Biscay and the Iberian Coast","GNS","Argyrosomus regius",264,15,0.056818182,0.034090909,0.083333333,"f"
"34","Bay of Biscay and the Iberian Coast","OTB","Argyrosomus regius",245,1370,5.591836735,5.342857143,5.840816327,"f"
"35","Baltic Sea","GNS","Aythya fuligula",1116.280952,1,0.000895832,0,0.002687495,"b"
"36","Baltic Sea","GTR","Aythya fuligula",105.0190476,2,0.019044164,0,0.047610411,"b"
"37","Baltic Sea","GNS","Aythya marila",1116.280952,8,0.007166655,0.003583327,0.011645814,"b"
"38","Baltic Sea","GTR","Aythya marila",105.0190476,1,0.009522082,0,0.028566246,"b"
"39","Azores","LLS","Bathyraja brachyurops",74,21,0.283783784,0.189189189,0.391891892,"f"
"40","Azores","LHM","Bodianus scrofa",658,1,0.001519757,0,0.004559271,"f"
"41","Bay of Biscay and the Iberian Coast","OTB","Brama brama",245,2,0.008163265,0,0.020408163,"f"
"42","Bay of Biscay and the Iberian Coast","PTB","Brama brama",322,10,0.031055901,0.01552795,0.046583851,"f"
"43","Azores","LHM","Calonectris borealis",2868,3,0.001046025,0.000348675,0.00209205,"b"
"44","Western Mediterranean Sea","LLD","Calonectris diomedea",961,10,0.010405827,0.005202914,0.015608741,"b"
"45","Western Mediterranean Sea","LLD","Calonectris diomedea",1149,6,0.005221932,0.001740644,0.00870322,"b"
"46","Adriatic Sea","LLD","Caretta caretta",167,15,0.089820359,0.053892216,0.131736527,"r"
"47","Adriatic Sea","OTB","Caretta caretta",464,20,0.043103448,0.028017241,0.060344828,"r"
"48","Adriatic Sea","PS","Caretta caretta",362,21,0.05801105,0.038674033,0.080110497,"r"
"49","Adriatic Sea","PTM","Caretta caretta",988,67,0.067813765,0.05465587,0.081983806,"r"
"50","Aegean-Levantine Sea","GTR","Caretta caretta",1392,1,0.000718391,0,0.002155172,"r"
"51","Aegean-Levantine Sea","OTB","Caretta caretta",544,3,0.005514706,0.001838235,0.011029412,"r"
"52","Azores","GNS","Caretta caretta",68,2,0.029411765,0,0.073529412,"r"
"53","Azores","LLD","Caretta caretta",319,28,0.087774295,0.062695925,0.115987461,"r"
"54","Bay of Biscay and the Iberian Coast","GNS","Caretta caretta",2874.68021,2,0.00069573,0,0.001739324,"r"
"55","Western Mediterranean Sea","LLD","Caretta caretta",961,12,0.012486993,0.007284079,0.018730489,"r"
"56","Western Mediterranean Sea","LLD","Caretta caretta",1149,34,0.029590949,0.02175805,0.038294169,"r"
"57","Western Mediterranean Sea","OTB","Caretta caretta",2841.916667,3,0.001055626,0.000351875,0.002111251,"r"
"58","Western Mediterranean Sea","OTT","Caretta caretta",455,2,0.004395604,0,0.010989011,"r"
"59","Aegean-Levantine Sea","GNS","Centrophorus granulosus",194,3,0.015463918,0.005154639,0.030927835,"f"
"60","Azores","LLS","Centrophorus granulosus",74,27,0.364864865,0.256756757,0.486486486,"f"
"61","Bay of Biscay and the Iberian Coast","PTB","Centrophorus granulosus",322,14,0.043478261,0.02484472,0.062111801,"f"
"62","Ionian Sea and the Central","LLS","Centrophorus granulosus",59,1,0.016949153,0,0.050847458,"f"
"63","Icelandic Waters","OTB","Centroscyllium fabricii",412,1152,2.796116505,2.660194175,2.932038835,"f"
"64","Azores","LLS","Centroscymnus crepidater",74,1,0.013513514,0,0.040540541,"f"
"65","Icelandic Waters","OTB","Centroscymnus crepidater",412,242,0.587378641,0.526699029,0.650485437,"f"
"66","Icelandic Waters","GNS","Cepphus grylle",711,185,0.260196906,0.229254571,0.29254571,"b"
"67","Bay of Biscay and the Iberian Coast","GTR","Cetorhinus maximus",579.7954754,1,0.001724746,0,0.005174238,"f"
"68","Bay of Biscay and the Iberian Coast","GNS","Chelidonichthys lucerna",264,78,0.295454545,0.242424242,0.352272727,"f"
"69","Bay of Biscay and the Iberian Coast","OTB","Chelidonichthys lucerna",245,13168,53.74693878,52.97959184,54.51836735,"f"
"70","Bay of Biscay and the Iberian Coast","PTB","Chelidonichthys lucerna",322,2533,7.866459627,7.611801242,8.124223602,"f"
"71","Celtic Seas","OTB","Chelidonichthys lucerna",383,540,1.409921671,1.310704961,1.511749347,"f"
"72","Celtic Seas","SSC","Chelidonichthys lucerna",52,14,0.269230769,0.153846154,0.384615385,"f"
"73","Greater North Sea","OTB","Chelidonichthys lucerna",213,87,0.408450704,0.338028169,0.483568075,"f"
"74","Greater North Sea","OTM","Chelidonichthys lucerna",58,3,0.051724138,0.017241379,0.103448276,"f"
"75","Aegean-Levantine Sea","OTB","Chelonia mydas",544,1,0.001838235,0,0.005514706,"r"
"76","Bay of Biscay and the Iberian Coast","GNS","Chimaera monstrosa",264,113,0.428030303,0.363636364,0.496212121,"f"
"77","Bay of Biscay and the Iberian Coast","OTB","Chimaera monstrosa",245,511,2.085714286,1.934693878,2.236734694,"f"
"78","Bay of Biscay and the Iberian Coast","PTB","Chimaera monstrosa",322,34,0.105590062,0.077639752,0.136645963,"f"
"79","Celtic Seas","OTB","Chimaera monstrosa",383,458,1.195822454,1.104438642,1.287206266,"f"
"80","Greater North Sea","OTB","Chimaera monstrosa",213,111,0.521126761,0.441314554,0.605633803,"f"
"81","Icelandic Waters","GNS","Chimaera monstrosa",134,367,2.73880597,2.507462687,2.97761194,"f"
"82","Icelandic Waters","OTB","Chimaera monstrosa",412,1223,2.968446602,2.830097087,3.109223301,"f"
"83","Baltic Sea","GNS","Clangula hyemalis",1116.280952,2,0.001791664,0,0.004479159,"b"
"84","Icelandic Waters","GNS","Clangula hyemalis",711,5,0.007032349,0.00281294,0.012658228,"b"
"85","Azores","LHM","Conger conger",658,17,0.025835866,0.016717325,0.036474164,"f"
"86","Azores","LLS","Conger conger",74,780,10.54054054,9.918918919,11.16216216,"f"
"87","Bay of Biscay and the Iberian Coast","GNS","Conger conger",264,6,0.022727273,0.007575758,0.037878788,"f"
"88","Bay of Biscay and the Iberian Coast","OTB","Conger conger",245,14679,59.91428571,59.10204082,60.73061224,"f"
"89","Bay of Biscay and the Iberian Coast","PS","Conger conger",62,7,0.112903226,0.048387097,0.193548387,"f"
"90","Bay of Biscay and the Iberian Coast","PTB","Conger conger",322,16,0.049689441,0.031055901,0.071428571,"f"
"91","Celtic Seas","OTB","Conger conger",383,215,0.561357702,0.498694517,0.624020888,"f"
"92","Celtic Seas","OTM","Conger conger",59,1,0.016949153,0,0.050847458,"f"
"93","Celtic Seas","TBB","Conger conger",228.54,14,0.061258423,0.035004813,0.087512033,"f"
"94","Greater North Sea","OTB","Conger conger",164,69,0.420731707,0.341463415,0.506097561,"f"
"95","Greater North Sea","OTT","Conger conger",96,1,0.010416667,0,0.03125,"f"
"96","Greater North Sea","TBB","Conger conger",214.71,55,0.256159471,0.200270132,0.31204881,"f"
"97","Icelandic Waters","OTB","Conger conger",412,1,0.002427184,0,0.007281553,"f"
"98","Baltic Sea","GNS","Cyclopterus lumpus",117.052381,55,0.469875107,0.367356902,0.572393312,"f"
"99","Barents Sea","OTB","Cyclopterus lumpus",76,44,0.578947368,0.434210526,0.723684211,"f"
"100","Celtic Seas","OTB","Cyclopterus lumpus",296,1,0.003378378,0,0.010135135,"f"
"101","Greater North Sea","OTB","Cyclopterus lumpus",213,159,0.746478873,0.65258216,0.845070423,"f"
"102","Greater North Sea","OTM","Cyclopterus lumpus",58,48,0.827586207,0.637931034,1.034482759,"f"
"103","Greater North Sea","TBB","Cyclopterus lumpus",120,23,0.191666667,0.125,0.258333333,"f"
"104","Azores","LHM","Dasyatis pastinaca",658,1,0.001519757,0,0.004559271,"f"
"105","Bay of Biscay and the Iberian Coast","GNS","Dasyatis pastinaca",264,1,0.003787879,0,0.011363636,"f"
"106","Bay of Biscay and the Iberian Coast","PS","Dasyatis pastinaca",62,17,0.274193548,0.177419355,0.387096774,"f"
"107","Greater North Sea","OTB","Dasyatis pastinaca",164,2,0.012195122,0,0.030487805,"f"
"108","Greater North Sea","OTT","Dasyatis pastinaca",96,1,0.010416667,0,0.03125,"f"
"109","Greater North Sea","TBB","Dasyatis pastinaca",237.71,6,0.02524084,0.008413613,0.042068066,"f"
"110","Icelandic Waters","OTB","Deania calceus",412,30,0.072815534,0.050970874,0.094660194,"f"
"111","Azores","LLS","Deania calceus",74,199,2.689189189,2.378378378,3,"f"
"112","Bay of Biscay and the Iberian Coast","GNS","Deania calceus",264,11,0.041666667,0.022727273,0.064393939,"f"
"113","Bay of Biscay and the Iberian Coast","OTB","Deania calceus",245,40,0.163265306,0.12244898,0.208163265,"f"
"114","Bay of Biscay and the Iberian Coast","PTB","Deania calceus",322,533,1.655279503,1.537267081,1.773291925,"f"
"115","Celtic Seas","OTB","Deania calceus",296,2,0.006756757,0,0.016891892,"f"
"116","Celtic Seas","OTM","Deania calceus",59,13,0.220338983,0.118644068,0.322033898,"f"
"117","Bay of Biscay and the Iberian Coast","GNS","Delphinidae",2874.68021,1,0.000347865,0,0.001043594,"m"
"118","Celtic Seas","GTR","Delphinidae",107.7952836,1,0.009276844,0,0.027830531,"m"
"119","Celtic Seas","OTT","Delphinidae",1990.316926,1,0.000502433,0,0.001507298,"m"
"120","Western Mediterranean Sea","OTB","Delphinidae",2841.916667,1,0.000351875,0,0.001055626,"m"
"121","Greater North Sea","OTB","Delphinus",4194.253795,2,0.000476843,0,0.001192107,"m"
"122","Azores","LHM","Delphinus delphis",2868,3,0.001046025,0.000348675,0.00209205,"m"
"123","Bay of Biscay and the Iberian Coast","GNS","Delphinus delphis",2874.68021,23,0.00800089,0.005217972,0.010783808,"m"
"124","Bay of Biscay and the Iberian Coast","GTR","Delphinus delphis",1730.006607,26,0.015028844,0.010404585,0.020231137,"m"
"125","Bay of Biscay and the Iberian Coast","LLS","Delphinus delphis",363.7029582,1,0.002749496,0,0.008248489,"m"
"126","Bay of Biscay and the Iberian Coast","OTB","Delphinus delphis",1636.720217,2,0.001221956,0,0.00305489,"m"
"127","Bay of Biscay and the Iberian Coast","PS","Delphinus delphis",913.5,11,0.012041598,0.006568144,0.018609743,"m"
"128","Bay of Biscay and the Iberian Coast","PTB","Delphinus delphis",682.4220779,85,0.124556345,0.102575814,0.146536877,"m"
"129","Bay of Biscay and the Iberian Coast","PTM","Delphinus delphis",1080.210108,115,0.10646077,0.090723091,0.123124195,"m"
"130","Celtic Seas","GNS","Delphinus delphis",1284.660272,8,0.006227327,0.003113664,0.010119407,"m"
"131","Celtic Seas","GTR","Delphinus delphis",107.7952836,1,0.009276844,0,0.027830531,"m"
"132","Celtic Seas","OTB","Delphinus delphis",3841.738826,12,0.003123586,0.001822092,0.004685378,"m"
"133","Celtic Seas","OTT","Delphinus delphis",1990.316926,2,0.001004865,0,0.002512163,"m"
"134","Celtic Seas","PTM","Delphinus delphis",332.5236111,1,0.003007305,0,0.009021916,"m"
"135","Greater North Sea","GNS","Delphinus delphis",8169.995292,4,0.000489596,0.000122399,0.000979193,"m"
"136","Greater North Sea","GTR","Delphinus delphis",640.6128671,3,0.004683016,0.001561005,0.009366031,"m"
"137","Greater North Sea","OTB","Delphinus delphis",4194.253795,5,0.001192107,0.000476843,0.002145793,"m"
"138","Greater North Sea","PS","Delphinus delphis",56.5,5,0.088495575,0.03539823,0.159292035,"m"
"139","Greater North Sea","TBB","Delphinus delphis",1526.499691,1,0.000655093,0,0.00196528,"m"
"140","Bay of Biscay and the Iberian Coast","GNS","Dentex dentex",264,17,0.064393939,0.041666667,0.090909091,"f"
"141","Bay of Biscay and the Iberian Coast","OTB","Dentex dentex",245,1,0.004081633,0,0.012244898,"f"
"142","Azores","LLD","Dermochelys coriacea",319,6,0.018808777,0.006269592,0.031347962,"r"
"143","Western Mediterranean Sea","LLD","Dermochelys coriacea",961,1,0.001040583,0,0.003121748,"r"
"144","Icelandic Waters","GNS","Dipturus batis",134,16,0.119402985,0.074626866,0.171641791,"f"
"145","Icelandic Waters","OTB","Dipturus batis",412,33,0.080097087,0.058252427,0.104368932,"f"
"146","Azores","LLS","Dipturus oxyrinchus",74,9,0.121621622,0.054054054,0.189189189,"f"
"147","Greater North Sea","OTB","Dipturus oxyrinchus",213,5,0.023474178,0.009389671,0.042253521,"f"
"148","Azores","LLS","Epigonus telescopus",74,38,0.513513514,0.378378378,0.648648649,"f"
"149","Aegean-Levantine Sea","GNS","Epinephelus marginatus",194,1,0.005154639,0,0.015463918,"f"
"150","Aegean-Levantine Sea","GTR","Epinephelus marginatus",254,3,0.011811024,0.003937008,0.023622047,"f"
"151","Aegean-Levantine Sea","LLS","Epinephelus marginatus",163,67,0.411042945,0.331288344,0.496932515,"f"
"152","Aegean-Levantine Sea","OTB","Epinephelus marginatus",200,1,0.005,0,0.015,"f"
"153","Ionian Sea and the Central","GTR","Epinephelus marginatus",167,2,0.011976048,0,0.02994012,"f"
"154","Ionian Sea and the Central","LLS","Epinephelus marginatus",59,23,0.389830508,0.254237288,0.525423729,"f"
"155","Celtic Seas","OTB","Etmopterus princeps",296,4,0.013513514,0.003378378,0.027027027,"f"
"156","Celtic Seas","OTM","Etmopterus princeps",59,2,0.033898305,0,0.084745763,"f"
"157","Icelandic Waters","OTB","Etmopterus princeps",412,485,1.177184466,1.089805825,1.266990291,"f"
"158","Azores","LLS","Etmopterus pusillus",74,46,0.621621622,0.472972973,0.77027027,"f"
"159","Azores","LLS","Etmopterus spinax",74,562,7.594594595,7.067567568,8.121621622,"f"
"160","Bay of Biscay and the Iberian Coast","GNS","Etmopterus spinax",264,91,0.34469697,0.287878788,0.40530303,"f"
"161","Bay of Biscay and the Iberian Coast","OTB","Etmopterus spinax",245,1533,6.257142857,5.995918367,6.52244898,"f"
"162","Bay of Biscay and the Iberian Coast","PTB","Etmopterus spinax",322,29,0.090062112,0.062111801,0.118012422,"f"
"163","Celtic Seas","OTB","Etmopterus spinax",383,98,0.255874674,0.214099217,0.300261097,"f"
"164","Celtic Seas","OTM","Etmopterus spinax",59,1,0.016949153,0,0.050847458,"f"
"165","Greater North Sea","OTB","Etmopterus spinax",213,94,0.441314554,0.366197183,0.516431925,"f"
"166","Icelandic Waters","GNS","Etmopterus spinax",134,9,0.067164179,0.029850746,0.104477612,"f"
"167","Icelandic Waters","OTB","Etmopterus spinax",412,568,1.378640777,1.283980583,1.473300971,"f"
"168","Icelandic Waters","GNS","Fratercula arctica",711,2,0.00281294,0,0.007032349,"b"
"169","Celtic Seas","LLS","Fulmarus glacialis",179.75,12,0.066759388,0.038942976,0.100139082,"b"
"170","Greater North Sea","LLS","Fulmarus glacialis",170.0333333,110,0.646931974,0.546951578,0.75279357,"b"
"171","Icelandic Waters","GNS","Fulmarus glacialis",711,9,0.012658228,0.005625879,0.019690577,"b"
"172","Icelandic Waters","LLS","Fulmarus glacialis",238,139,0.584033613,0.504201681,0.668067227,"b"
"173","Aegean-Levantine Sea","GNS","Galeorhinus galeus",194,1,0.005154639,0,0.015463918,"f"
"174","Aegean-Levantine Sea","GTR","Galeorhinus galeus",254,1,0.003937008,0,0.011811024,"f"
"175","Greater North Sea","OTB","Galeus melastomus",213,2,0.009389671,0,0.023474178,"f"
"176","Icelandic Waters","OTB","Galeus murinus",412,204,0.495145631,0.439320388,0.553398058,"f"
"177","Baltic Sea","GNS","Gavia arctica",1116.280952,2,0.001791664,0,0.004479159,"b"
"178","Greater North Sea","GNS","Gavia arctica",8169.995292,1,0.000122399,0,0.000367197,"b"
"179","Bay of Biscay and the Iberian Coast","GNS","Gavia immer",2874.68021,1,0.000347865,0,0.001043594,"b"
"180","Icelandic Waters","GNS","Gavia immer",711,3,0.004219409,0.00140647,0.008438819,"b"
"181","Bay of Biscay and the Iberian Coast","GNS","Gavia stellata",2874.68021,1,0.000347865,0,0.001043594,"b"
"182","Bay of Biscay and the Iberian Coast","GTR","Gavia stellata",1730.006607,2,0.001156065,0,0.002890162,"b"
"183","Greater North Sea","GNS","Gavia stellata",8169.995292,4,0.000489596,0.000122399,0.000979193,"b"
"184","Icelandic Waters","GNS","Gavia stellata",711,1,0.00140647,0,0.004219409,"b"
"185","Azores","LLD","Globicephala melas",319,1,0.003134796,0,0.009404389,"m"
"186","Bay of Biscay and the Iberian Coast","PTB","Globicephala melas",682.4220779,2,0.002930738,0,0.007326844,"m"
"187","Bay of Biscay and the Iberian Coast","PTM","Globicephala melas",1080.210108,5,0.004628729,0.001851492,0.008331712,"m"
"188","Celtic Seas","OTM","Globicephala melas",785,3,0.003821656,0.001273885,0.007643312,"m"
"189","Western Mediterranean Sea","LLD","Grampus griseus",1149,1,0.000870322,0,0.002610966,"m"
"190","Aegean-Levantine Sea","GNS","Gymnura altavela",194,1,0.005154639,0,0.015463918,"f"
"191","Aegean-Levantine Sea","OTB","Gymnura altavela",200,2,0.01,0,0.025,"f"
"192","Ionian Sea and the Central","LLS","Gymnura altavela",59,1,0.016949153,0,0.050847458,"f"
"193","Baltic Sea","FPN","Halichoerus grypus",74,6,0.081081081,0.027027027,0.135135135,"m"
"194","Baltic Sea","FPO","Halichoerus grypus",99,9,0.090909091,0.04040404,0.141414141,"m"
"195","Baltic Sea","OTM","Halichoerus grypus",3709,2,0.000539229,0,0.001348072,"m"
"196","Barents Sea","GNS","Halichoerus grypus",675.6,11,0.016281824,0.008880995,0.025162818,"m"
"197","Bay of Biscay and the Iberian Coast","GNS","Halichoerus grypus",2874.68021,2,0.00069573,0,0.001739324,"m"
"198","Bay of Biscay and the Iberian Coast","GTR","Halichoerus grypus",1730.006607,6,0.003468195,0.001156065,0.005780325,"m"
"199","Celtic Seas","GNS","Halichoerus grypus",1284.660272,217,0.168916253,0.150234271,0.188376651,"m"
"200","Celtic Seas","GTR","Halichoerus grypus",107.7952836,9,0.083491594,0.037107375,0.129875812,"m"
"201","Celtic Seas","OTM","Halichoerus grypus",785,18,0.022929936,0.014012739,0.031847134,"m"
"202","Greater North Sea","GNS","Halichoerus grypus",8169.995292,11,0.00134639,0.000734395,0.002080785,"m"
"203","Greater North Sea","GTR","Halichoerus grypus",640.6128671,8,0.012488041,0.006244021,0.020293067,"m"
"204","Greater North Sea","OTB","Halichoerus grypus",4194.253795,1,0.000238421,0,0.000715264,"m"
"205","Greater North Sea","OTM","Halichoerus grypus",693.9678408,23,0.033142746,0.021614834,0.044670658,"m"
"206","Greater North Sea","TBB","Halichoerus grypus",1526.499691,1,0.000655093,0,0.00196528,"m"
"207","Icelandic Waters","GNS","Halichoerus grypus",711,37,0.052039381,0.037974684,0.066104079,"m"
"208","Norwegian Sea","GNS","Halichoerus grypus",20556.3,22,0.001070232,0.000729703,0.001459407,"m"
"209","Azores","LHM","Helicolenus dactylopterus",658,20,0.030395137,0.019756839,0.042553191,"f"
"210","Azores","LLS","Helicolenus dactylopterus",74,5953,80.44594595,78.72972973,82.16216216,"f"
"211","Bay of Biscay and the Iberian Coast","GNS","Helicolenus dactylopterus",264,29,0.109848485,0.075757576,0.143939394,"f"
"212","Bay of Biscay and the Iberian Coast","OTB","Helicolenus dactylopterus",245,9599,39.17959184,38.52244898,39.83673469,"f"
"213","Bay of Biscay and the Iberian Coast","PTB","Helicolenus dactylopterus",322,1224,3.801242236,3.624223602,3.98136646,"f"
"214","Celtic Seas","OTB","Helicolenus dactylopterus",383,114913,300.0339426,298.5822454,301.4934726,"f"
"215","Celtic Seas","OTM","Helicolenus dactylopterus",59,5,0.084745763,0.033898305,0.152542373,"f"
"216","Greater North Sea","OTB","Helicolenus dactylopterus",213,163,0.765258216,0.666666667,0.863849765,"f"
"217","Icelandic Waters","GNS","Helicolenus dactylopterus",134,1,0.007462687,0,0.02238806,"f"
"218","Icelandic Waters","OTB","Helicolenus dactylopterus",412,5180,12.57281553,12.28640777,12.86165049,"f"
"219","Aegean-Levantine Sea","OTB","Heptranchias perlo",200,2,0.01,0,0.025,"f"
"220","Azores","LLS","Hexanchus griseus",74,4,0.054054054,0.013513514,0.108108108,"f"
"221","Bay of Biscay and the Iberian Coast","GNS","Hexanchus griseus",264,7,0.026515152,0.011363636,0.045454545,"f"
"222","Bay of Biscay and the Iberian Coast","OTB","Hexanchus griseus",245,57,0.232653061,0.183673469,0.285714286,"f"
"223","Bay of Biscay and the Iberian Coast","PTB","Hexanchus griseus",322,3,0.00931677,0.00310559,0.01863354,"f"
"224","Celtic Seas","OTB","Hexanchus griseus",383,12,0.031331593,0.018276762,0.046997389,"f"
"225","Aegean-Levantine Sea","GTR","Hippocampus guttulatus",254,1,0.003937008,0,0.011811024,"f"
"226","Greater North Sea","OTB","Hippoglossus hippoglossus",377,20,0.053050398,0.034482759,0.074270557,"f"
"227","Greater North Sea","OTT","Hippoglossus hippoglossus",115,30,0.260869565,0.182608696,0.339130435,"f"
"228","Greater North Sea","TBB","Hippoglossus hippoglossus",94.71,0,0,0,0,"f"
"229","Bay of Biscay and the Iberian Coast","GNS","Hydrolagus mirabilis",264,18,0.068181818,0.041666667,0.09469697,"f"
"230","Icelandic Waters","OTB","Hydrolagus mirabilis",412,2,0.004854369,0,0.012135922,"f"
"231","Azores","LHM","Labrus bergylta",658,4,0.006079027,0.001519757,0.012158055,"f"
"232","Bay of Biscay and the Iberian Coast","GNS","Labrus bergylta",264,41,0.15530303,0.117424242,0.196969697,"f"
"233","Greater North Sea","OTB","Labrus bergylta",164,7,0.042682927,0.018292683,0.073170732,"f"
"234","Greater North Sea","GNS","Lagenorhynchus albirostris",8169.995292,2,0.000244798,0,0.000611995,"m"
"235","Icelandic Waters","GNS","Lagenorhynchus albirostris",711,4,0.005625879,0.00140647,0.011251758,"m"
"236","Baltic Sea","OTM","Lampetra fluviatilis",447,17,0.03803132,0.024608501,0.053691275,"f"
"237","Greater North Sea","OTM","Lampetra fluviatilis",58,1,0.017241379,0,0.051724138,"f"
"238","Bay of Biscay and the Iberian Coast","GNS","Larus",2874.68021,1,0.000347865,0,0.001043594,"b"
"239","Bay of Biscay and the Iberian Coast","LHM","Larus",139.8928571,1,0.007148328,0,0.021444983,"b"
"240","Bay of Biscay and the Iberian Coast","OTB","Larus",1636.720217,1,0.000610978,0,0.001832934,"b"
"241","Bay of Biscay and the Iberian Coast","OTB","Larus argentatus",1636.720217,1,0.000610978,0,0.001832934,"b"
"242","Celtic Seas","OTT","Larus argentatus",1990.316926,1,0.000502433,0,0.001507298,"b"
"243","Greater North Sea","LLS","Larus argentatus",170.0333333,2,0.0117624,0,0.029405999,"b"
"244","Greater North Sea","OTM","Larus argentatus",693.9678408,1,0.001440989,0,0.004322967,"b"
"245","Icelandic Waters","LLS","Larus argentatus",238,35,0.147058824,0.109243697,0.18907563,"b"
"246","Western Mediterranean Sea","LLD","Larus audouinii",961,48,0.049947971,0.038501561,0.062434964,"b"
"247","Western Mediterranean Sea","LLD","Larus audouinii",1149,4,0.003481288,0.000870322,0.006962576,"b"
"248","Icelandic Waters","LLS","Larus fuscus",238,5,0.021008403,0.008403361,0.037815126,"b"
"249","Western Mediterranean Sea","LLD","Larus fuscus",961,2,0.002081165,0,0.005202914,"b"
"250","Western Mediterranean Sea","LLD","Larus melanocephalus",961,4,0.004162331,0.001040583,0.008324662,"b"
"251","Bay of Biscay and the Iberian Coast","GNS","Larus michahellis",2874.68021,7,0.002435053,0.001043594,0.004174377,"b"
"252","Bay of Biscay and the Iberian Coast","PS","Larus michahellis",913.5,6,0.006568144,0.002189381,0.010946907,"b"
"253","Western Mediterranean Sea","LLD","Larus michahellis",961,16,0.016649324,0.010405827,0.023933403,"b"
"254","Western Mediterranean Sea","LLD","Larus michahellis",1149,4,0.003481288,0.000870322,0.006962576,"b"
"255","Azores","LHM","Lepidopus caudatus",658,36,0.054711246,0.039513678,0.069908815,"f"
"256","Azores","LLS","Lepidopus caudatus",74,358,4.837837838,4.418918919,5.256756757,"f"
"257","Bay of Biscay and the Iberian Coast","GNS","Lepidopus caudatus",264,21,0.079545455,0.053030303,0.109848485,"f"
"258","Bay of Biscay and the Iberian Coast","OTB","Lepidopus caudatus",245,306,1.248979592,1.134693878,1.367346939,"f"
"259","Bay of Biscay and the Iberian Coast","PTB","Lepidopus caudatus",322,6,0.01863354,0.00621118,0.031055901,"f"
"260","Azores","LLS","Lepidorhombus whiffiagonis",74,2,0.027027027,0,0.067567568,"f"
"261","Aegean-Levantine Sea","GNS","Leucoraja circularis",194,1,0.005154639,0,0.015463918,"f"
"262","Greater North Sea","TBB","Leucoraja circularis",94.71,1,0.010558547,0,0.031675641,"f"
